date,rep_id,source,leads,opportunities,closed_won,revenue
1/1/2018,1,google/cpc,7,3,2,122.81
1/1/2018,1,google/organic,14,4,2,187.17
1/1/2018,1,bing/cpc,38,5,2,77.47
1/1/2018,1,bing/organic,28,10,3,124.62
1/1/2018,1,facebook/display,182,19,8,417.11
1/1/2018,2,google/cpc,10,3,1,83.12
1/1/2018,2,google/organic,19,9,7,891.9
1/1/2018,2,bing/cpc,54,9,4,273.36
1/1/2018,2,bing/organic,21,11,1,75.91
1/1/2018,2,facebook/display,166,11,3,204.39
1/1/2018,3,google/cpc,11,2,2,217.97
1/1/2018,3,google/organic,15,4,2,233.22
1/1/2018,3,bing/cpc,50,11,7,565.18
1/1/2018,3,bing/organic,22,4,1,53.95
1/1/2018,3,facebook/display,193,14,6,348.78
1/1/2018,4,google/cpc,12,4,4,271.63
1/1/2018,4,google/organic,14,5,3,161.08
1/1/2018,4,bing/cpc,58,17,10,344.14
1/1/2018,4,bing/organic,30,14,5,106.72
1/1/2018,4,facebook/display,218,18,7,365.75
1/1/2018,5,google/cpc,9,2,2,154.55
1/1/2018,5,google/organic,15,10,10,796.64
1/1/2018,5,bing/cpc,50,14,10,579.07
1/1/2018,5,bing/organic,33,12,3,128.81
1/1/2018,5,facebook/display,185,21,7,422.11
1/1/2018,6,google/cpc,5,0,0,0
1/1/2018,6,google/organic,11,5,2,219.85
1/1/2018,6,bing/cpc,50,3,1,62.67
1/1/2018,6,bing/organic,26,7,4,226.92
1/1/2018,6,facebook/display,237,18,6,469
1/1/2018,7,google/cpc,10,2,1,102.8
1/1/2018,7,google/organic,16,5,3,362.65
1/1/2018,7,bing/cpc,57,12,8,566.19
1/1/2018,7,bing/organic,21,5,2,140.9
1/1/2018,7,facebook/display,223,13,3,221.02
1/1/2018,8,google/cpc,9,4,2,167.71
1/1/2018,8,google/organic,16,5,3,429.81
1/1/2018,8,bing/cpc,55,8,5,196.31
1/1/2018,8,bing/organic,27,10,2,143.18
1/1/2018,8,facebook/display,224,24,6,598.59
1/2/2018,1,google/cpc,10,4,3,228.52
1/2/2018,1,google/organic,12,8,6,567.28
